brand,categories,features.value,manufacturer,name
Food to Live,Grocery,Pine Nuts,,Food to Live Pine Nuts / Pignolias (Pinion) (8 Ounces)
Cook's,Grocery,"Alcohol,oil of bitter almond,and water.",,Cook's Pure Almond Extract 32 oz
Rossi Pasta,Grocery,"Hard unbleached red spring wheat flour,natural spring water,pumpkin powder,eggs,ground cinnamon,extra virgin olive oil,ground ginger,ground nutmeg and ground cloves.",,12 oz. Pumpkin Spice Fettuccini Pasta
Kinnikinnick,Grocery,"Icing(Icing Sugar, Non Hydrogenated Shortening (Palm Fruit Oil and/or Canola), Soy Lecithin, Vanilla, Salt),Pea Starch,Sugar,Potato Starch,White Rice Flour,Non Hydrogenated Shortening (Palm Fruit and/or Canola),Tapioca Starch,Water,Glucose,Pea Protein,Salt,Pea Fibre,Modified Cellulose,Vanilla Extract,Guar Gum,Inulin,Sodium Bicarbonate,Soy Lecithin,Natural Colour (glycerine, beta-carotene),May contain eggs",,Kinnittoos Vanilla Sandwich Creme
Candy Creek Lollipops,Grocery,"Isomalt,Citric Acid,Artificial Flavors,Sucralose,Artificial Colors (Turmeric,Red Cabbage Juice, FD&C Red 40, Blue 1, Yellow 5, Yellow 6 and Red 3),and Soya Lecithin. Butterscotch Swirl has Salt,Peppermint has Titanium Dioxide Color and Natural Peppermint Oil. Manufactured in a facility that processes Dairy,Peanut,Almond,Walnut,Pecan,Nutmeg,Soy Protein. Note: Excessive consumption may cause laxative effect. Candy Creek Lollipops are Gluten Free. Contains Soy",,Candy Creek Sugar Free Lollipops
Momma's Rainbow Candy,Grocery,"Sugar,Corn-syrup,Partially hydrogenated soybean oil,artificial flavor,and my contain one or several of the following artificial colors FD&C Red 40,Yellow 5,Blue 1.",,Momma's Rainbow Candy Red Teddy Bear Lollipops (20 Count)
Skittles,Grocery,"Sugar,Glucose Syrup,Palm Fat,Acids Citric Acid,Malic Acid,Dextrin,Maltodextrin,Flavourings,Colours E162,E171,E100,E160a,E132,E133,E163,E160e,Modified Starch,Acidity Regulator Trisodium Citrate,Glazing Agent Carnauba Wax",,Skittles Pouch - 174g - Pack of 2 (174g x 2 Pouches)
Oak Leaf,Grocery,"Sugar,dectrose,corn syrup,gum base,corn starch,natural and artificial flavors,glycerin,resinous glaze,tapioca dextrin,carnuba wax,colors (Red 3),BHT.",,Pink Gourmet Gumballs (1 Pound Bag)
Cucina Viva,Grocery,"Mashed Potatoes 70% (Water, Dehydrated Potatoes: Potatoes, Antioxidant: Sodium Metabisulfite, Natural Flavorings),Granular Wheat Flour Type 00,Potato Starch,Basil (2%),Rice Flour,Salt,Flavorings,Lactic Acid,Preservative: Potassium Sorbate.",,Cucina Viva Gnocchi with Basil
Byrd's Famous Cookies,Grocery,"Sugar,enriched unbromated flour (wheat),egg whites,sesame (benne),seeds,palm oil,salt,baking soda,baking powder.",,Byrd's Benne Wafer Famous Cookies Tin Rainbow Road Charleston South Carolina 6 oz
Quaker,Grocery,See picture,,Quaker Steel Cut Quick 3-Minute Oatmeal (Blueberries & Cranberries) (Blueberries & Cranberries)
Capt. Marriner's Seafood,Grocery,Please view Nutrition Facts Within Photographs.,,New England Clam Chowder Mini Case 6-51oz Cans
MANGO,Grocery,"Sugar,Corn Syrup,Modified Food Starch,Mango Juice from Puree,Mango Juice from Concentrate,Contains 2% or less of the following: Citric Acid,Sodium Lactate,Sodium Citrate,Natural & Artificial Flavor,Color Added,Yellow 5 Lake,Yellow 5,Blue 1 Lake,Blue 1,Beeswax,Carnauba Wax,Confectioner's Glaze.",,Jelly Belly Mango 1 Lb Bag
Hammond's Candies,Grocery,"Sugar,Corn syrup,natural and artificial flavors,artificial colors (Blue 1, Red 3, Red 40 and yellow 5)",,Sack of Coal Candy~made in USA~ 2 Oz.
Trident,Grocery,"Maltitol 32%,Acesulfame-K 0.2%,Aspartame 0.2%,Sorbitol 30%,Sucralose 0.3%,Artificial Color and Flavor added.",,Trident Recaldent Chewing Gum Freshmint Flavored Sugar Free Dental Health Net Wt 12.6 G (9 Pellets) X 10 Boxes
A Great Surprise,Grocery,"Dextrose,Sugar,Malic Acid,and Less than 2% of Corn Syrup,Natural Flavors,Carnauba Wax,Color Added,Red 40 Lake,Yellow 5,Yellow 5 Lake. May Contain Egg.",,Nerds Candy - Wonka Nerds Mini Boxes
Kauffman's Fruit Farm,Grocery,"Corn Syrup,Sucrose,Food Starch- Modified,Dextrose,Natural and Artificial Flavors,Yellow 6 and Red 40. **Manufactured in a facility that also manufacture's products containing eggs.",,Bulk Orange Slices Jelly Candy
Oh! Nuts,Grocery,"Sugar,dextrose,corn syrup,gum base,corn starch,glycerin,natural and artificial flavors,tapioca dextrin,colors (titanium dioxide, mica based pearlescent pigments),BHT (to maintain freshness),. ALLERGY INFO: Processed in a facility which also processes Peanuts,Tree Nuts.",,Lavender Shimmer Pearl Gumballs 14 Pound Case - Oh! Nuts
Ener-G Foods,Grocery,"Filtered Water,Rice Flour,Tapioca Starch,High Oleic Safflower Oil,Pear Juice Concentrate,Bamboo Fiber,Methylcellulose,Salt,Guar Gum,Orange Citrus Fiber,Yeast,Calcium Phosphate,Baking Powder (Glucono Delta Lactone & Calcium Carbonate),. Enriched with Thiamine (Vitamin B1),Riboflavin (Vitamin B2),Niacin,Iron,Folic Acid & Vitamin D.",,Ener-G Foods Focaccia Crust
Diabetic Friendly,Grocery,"Nutritional Facts: Serving Size 7 pieces (40g),Calories 100,ZERO Fat,Total Carbohydrate: 27g,SUGAR ALCOHOLS 27g,ZERO Protein. so ZERO net carbs. Ingredients: Maltitol,Gelatin,Lactic acid,Citric acid,fumaric acid,Natural & Artifical flavors,Colors F D & C Yellow #5,#6,blue #1,Red #40 and aspartame Manufactured in a plant processes peanuts. Warning: Consumption may cause stomach discomfort and/or laxative effect.",,DiabeticFriendly Sugar Free Peach Gummy Rings (1lb/bulk)
Arora Creations,Grocery,"Salt,paprika*,ground cumin*,ground coriander*,granulated garlic*,ground ginger*,ground chilies*,granulated onion* ground black pepper*,citric acid,ground turmeric*,ground nutmeg*,ground mace*,herbs*,silicon dioxide,sunflower*,lemon oil*.",,Arora Creations Organic Goan Shrimp Curry
Antica Dolceria Rizza,Grocery,"\\Banana\\ Modica Chocolate bar: cocoa 50% min.,cocoa bitter paste,sugar,banana 0.8%,natural flavors. May contain traces of hazelnut,almond,pistachio.",,Antica Dolceria Rizza: Modica Chocolate
,Grocery,chicken soup. chicken extract. salt.,Maruwe soy sauce,Marue Hakata Mizutaki Soup 700gx12 Pieces
,Grocery,"lotus root (China),.",Wild ginseng food industry,Wild Ginseng Food Industry Happy Wild Vegetable Chunks Lotus Root 220gx5 Bags
,Grocery,edible oils and fats,Kokumaro,House Kokumaro Curry Sweet 88gx5 Pieces
,Grocery,rice bran (domestic),IseSo,Iseso Soaked Barrels 2.0kg
General Mills,Grocery,"Whole Grain Oats,Sugar,Oat Bran,Modified Corn Starch,Honey,Brown Sugar Syrup,Salt,Ground Almonds,Calcium Carbonate,Tripotassium Phosphate,Wheat Flour,Vitamin E (Mixed Tocopherols),Added to Preserve Freshness. Vitamins and Minerals: Zinc and Iron (Mineral Nutrients),Vitamin C (Sodium Ascorbate),a B Vitamin (Niacinamide),Vitamin B6 (Pyridoxine Hydrochloride),Vitamin B2 (Riboflavin),Vitamin B1 (Thiamin Mononitrate),Vitamin A (Palmitate),a B Vitamin (Folic Acid),Vitamin B12,Vitamin D.",,"Cheerios Honey Nut Cereal, 1 lb 4 oz (20 oz) 567 g"
Kellogg's,Grocery,"Rice,Whole Grain Wheat,Sugar,Honey Roasted Sliced Almonds (Dry Roasted Almonds, Sugar, Honey, Maltodextrin, Salt, BHT for Freshness),Wheat Bran,Salt,High Fructose Corn Syrup,Soluble Wheat Fiber,Malt Flavoring,Natural and Artificial Flavor,Ascorbic Acid (Vitamin C),Reduced Iron,Niacinamide,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin (Vitamin B2),Thiamin Hydrochloride (Vitamin B1),Vitamin A Palmitate,BHT (Preservative),Folic Acid,Vitamin D,Vitamin B12.",,"Cereal, with Almonds Vanilla, 14 oz (397 g)"
Smart Sense,Grocery,"Sugar,Corn Syrup,Titanium Dioxide (for Color),FDampC Red 40,Natural Peppermint Oil.",,"Peppermint Starlights, Value Size, 10 oz, 283 g"
Air Heads,Grocery,"Corn Syrup,Sugar,Modified Food Starch,Malic Acid,Artificial and Natural Flavors,Sodium Citrate,Artificial Colors",,Dots Assorted Fruit Flavored Gumdrops Candy 7.5 oz
Betty Crocker,Grocery,"sugar,water,palm oil,cocoa processed with alkali,high maltose corn syrup,corn starch,canola oil. Contains 2 or less of: salt,distilled monoglycerides,polysorbate 60,sodium stearoyl lactylate,sodium acid pyrophosphate,artificial flavor,citric acid. Freshness preserved by potassium sorbate.",,"Frosting, Hershey's Chocolate Caramel, 16 oz"
Smart Sense,Grocery,"Sodium Hypochlorite,Sodium Hydroxide,Biodegradable Surfactant,Soap,Sodium Silicate (Corrosion Inhibitor),.",,"Drain Pipe Opener, Gel 80 fl oz (2.5 qt) 2.7 lt"
Smart Sense,Grocery,"Sodium Hypochlorite,Sodium Hydroxide,Biodegradable Surfactant,Soap,Sodium Silicate (Corrosion Inhibitor),.",,"Drain Pipe Opener, Gel 32 fl oz (1 qt) 946 ml"
Fabuloso,Grocery,"Cleaning Agents (Calcium Carbonate, Sodium Carbonate, Anionic Surfactants),Bleach,Quality Control Agents,Fragrance,Color.",,"Ajax Powder Cleanser, with Bleach, 21 oz (1lb 5 oz) 595 g"
Skittles,Grocery,"Sugar,Corn Syrup,Hydrogenated Palm Kernel Oil Less than 2 of: Citric Acid,Tapioca Dextrin,Modified Corn Starch,Natural and Artificial Flavors,Colors (Red 40 Lake, Titanium Dioxide, Blue 2 Lake, Red 40, Blue 1, Blue 1 Lake, Yellow 5 Lake, Yellow 5, Yellow 6, Yellow 6 Lake),Sodium Citrate,Carnauba Wax.",,"Darkside Laydown Bag, 14 oz (396.9 g)"
Starburst,Grocery,"Corn Syrup,Sugar,Hydrogenated Palm Kernel Oil,Apple Juice from Concentrate,Less than 2 - Citric Acid,Dextrin,Gelatin,Food Starch-Modified,Artificial and Natural Flavors,Ascorbic Acid (Vitamin C),Coloring (Yellow 6, Red 40, Yellow 5, Blue 1),.",,Tropical Fruit Chew Candy 7.2 oz
ENSUENO,Grocery,"Fiber Relaxers,Water,Quality Control Agents Perfume.",,"Downy Wrinkle Releaser, Light Fresh Scent, 16.9 fl oz (500 ml)"
,Grocery,organic vegetable oils and fats. org.,La Selva (Raseruba),Raseruba Organic Basil Sauce 130g
,Grocery,wheat flour. palm oil. powder syrup,TOC food,Toc White Curry Roux 1kg
,Grocery,oyster mushroom. Nameko. enoki,Mishima,Simmered Mishimashokuhin Mushrooms (mix) 1kg
,Grocery,flour. salt. wheat protein.,Kanesu,250gx20 Pieces Kanesu Harima King In Wheat Noodles
,Grocery,glucose. salt. powdered soy sauce. s.,Kamoi,Iodine Pouch 46gx10 Bags of Kamoi Fried Rice
,Grocery,"animal fat (lard),.",Canyon spices,Curry Roux Mini 75gx10 Pieces For Canyon Spice Children
,Grocery,Source vegetable oils and fats. fo,Oh My,Oh My Rich Carbonara (42.5x2 Meals) X4 Pieces
,Grocery,"kelp (Hokkaido),.",Nakamura food,Minced Kelp 80gx3 Bags of Nakamura Food Kawamura Locality
,Grocery,Vinegar. soy sauce. high-fructose co.,Janefu,Janefu Non-oil Dressing Aojiso 1000ml
,Grocery,Japanese pear,Mr. lecture,Mr. Park Twentieth Century Pear Curry 200g
,Grocery,fermented seasoning liquid. soy sauc.,Stone the food industry,Ishimoto Stamina Yaki Sauce 1.8l
,Grocery,soy sauce mash,Kikkoman Corporation,Kikkoman Mash Taste 500gx12 Pieces
,Grocery,"bamboo shoots (China),.",Wild ginseng food industry,Wild Ginseng Food Industry Organic Grace Soft Bamboo Shoots 250gx5 Bags
,Grocery,vegetables,Saikan,S & B Saikan ï¿½ï¿½ï¿½sï¿½ï¿½ï¿½s Source Dry 120gx6 Pieces To Be Applied To The Tofu
,Grocery,starch. sugar. vegetable oil. dextri.,Kafekare,House Kafekare Mild Green Curry 54gx5 Pieces
,Grocery,kelp. konjac. lotus root.,Mishima,Simmered 1kg of Mishimashokuhin Increments Kelp
,Grocery,"Burdock (China),. lotus root (China),. .",Wild ginseng food industry,Wild Ginseng Food Industry Effort Without Fried Burdock 200gx5 Bags
Glade,Grocery,Fragrance Oil.,,"Glade Plugins Lasting Impressions Scented Oil, Clean Linen & Sunny Days, 1.42 fl oz"
Calissons by Gilles,Grocery,"Almond, cantaloupe, sugar, orange peel, dry egg white, natural flavors, natural colorings, wafer paper (potato starch, water), citric acid.",,Calissons Cezanne box of 12
Dark Chocolate Dream,Grocery,"Evaporated Cane Juice, Unsweetened Chocolate, Cocoa Butter, Roasted Soy Flour, Puffed Wild Rice, Soy Lecithin (an Emulsifier), Pure Vanilla Extract.,Evaporated Cane Juice,Unsweetened Chocolate,Cocoa Butter,Roasted Soy Flour,Puffed Wild Rice,Soy Lecithin (an Emulsifier),Pure Vanilla Extract.",,Dark Chocolate Dream Dark Chocolate Bar
Foods Alive,Grocery,"Golden Flaxseed (Certified Organic Ingredient - Certified Organic by ICO),Bragg Liquid Aminos (Soy),Lemon Juice.",,"Foods Alive Original Flax Crackers, 4 Oz"
Garden of Eatin',Grocery,"Organic Yellow Corn,Expeller Pressed Canola Oil and/Or Safflower Oil and/Or Sunflower Oil,Sea Salt.",,"Bearitos Yellow Corn Tortilla Chips, 16 oz"
Betty Crocker,Grocery,"Corn Syrup,Sugar,Modified Corn Starch,Apple Juice Concentrate. Contains 2% or Less of: Citric Acid,Fruit Pectin,Sodium Citrate,Malic Acid,Dextrose,Potassium Citrate,Vitamin C (Ascorbic Acid),Sunflower Oilï¿½ï¿½ï¿½,ï¿½ï¿½Color (Vegetable Juice,Spirulina Extract,Fruit Juice,ï¿½ï¿½Turmeric Extract,andï¿½ï¿½Annatto Extract),Natural Flavor,Carnauba Wax.ï¿½ï¿½ï¿½Adds a Trivial Amount of Fat.",,Betty Crocker Thomas and Friends Fruit Flavored Snacks Assorted Flavors 10 - 0.8 oz Pouches
Tres Estrellas,Grocery,"Enriched Flour (Flour,Thiamin Mononitrate,Riboflavin,Nicotidamine,Reduced Iron,Folic Acid),Vegetable Oil (Soybean & Palm Oil),Monocalcium Phosphate,Sodium Bicarbonate,Salt,Sodium Propionate (Preservative)",,"Tres Estrellas Flour Mix Churros, 17.6 oz"
S C Johnson Wax,Grocery,,,GLADE SCENTED OIL WARMER  6EA
Indus Organics,Grocery,100% Certified Organic pineapple,,Indus Organics Pineapple Dried Crunchy Chips
Chocolate Embajador,Grocery,"Sugar, Cocoa, Bitter Chocolate, Cinnamon, Salt",,Dominican Republic Gourmet Chocolate Embajador with Cinnamon
Artisan Tropic,Grocery,"Hand Selected Plantains, Non-Hydrogenated Palm Oil, Cinnamon",,Artisan Tropic Plantain Strips: Cinnamon 4.5oz (12 Pack)
Foodkoncept,Grocery,"Ingredient : Fish Meat 80%, Pizza Seasoning 5.5% Sugar 0.5 %, Topioca Flour 5%, Wheat Flour 3% Lodized Salt 1.5% Monosodium glutamate and Ribotide Added, No Preservative.",,Thai Taro Fish Snacks Pizza Flavor 7.5g (Pack of 12)
Black Tie Mercantile,Grocery,"Sugar, dextrose, corn syrup, gum base, corn starch, natural & artificial flavors, glycerin, tapioca dextrin, red 3, mica based pearlescent pigments, BHT.",,SweetWorks Celebration Shimmer Bright Pink Gumballs
Anthony's Goods,Grocery,100% Organic Peanuts,,Organic Peanut Flour
Medley Hills Farm,Grocery,"Sugar, Corn Syrup, Artificial Flavor, U.S. Certified Colors including FD&C Yellow 6, Blue 1 and Red 40.,Sugar,Corn Syrup,Artificial Flavor,U.S. Certified Colors including FD&C Yellow 6,Blue 1 and Red 40.",,Dad's Root Beer Barrels 4 Lbs Washburn Individually Wrapped Old Fashioned Candy
Life Savers,Grocery,"Isomalt, Citric Acid, Natural And Artificial Flavors, Sucralose, Colors (Red 40, Yellow 5, Blue 1).,Isomalt,Citric Acid,Natural And Artificial Flavors,Sucralose,Colors (Red 40, Yellow 5, Blue 1),.",,Life Savers Sugar Free Hard Candy
Life Savers,Grocery,"Isomalt (Sugar Free Sweeteners), Citric Acid (For Tartness), Natural and Artificial Flavor, Sucralose (Sugar Free Sweeteners), Artificial Color (Red 40, Yellow 5, Blue 1).,Isomalt (Sugar Free Sweeteners),Citric Acid (For Tartness),Natural and Artificial Flavor,Sucralose (Sugar Free Sweeteners),Artificial Color (Red 40, Yellow 5, Blue 1),.",,Life Savers 5 Flavors Sugarfree Hard Candy Bag
Tinkyada,Grocery,"Calories (210),Calories From Fat (15),Total Fat (2 g, 3%),Saturated Fats (0.5 g, 2%),Trans Fat,Cholesterol,Sodium (15 mg, 1%),Total Carbohydrate (43 g, 14%),Dietary Fiber (2 g, 17%),Sugar,Protein (4 g),Iron (4%),Brown Rice,Rice Bran and water",,Tinkyada Brown Rice Pasta
faerie's finest,Grocery,propylene glycol with natural & artificial flavors,,Faeries Finest Flavor Extract
Faultless,Grocery,"Water,Propellant,Starch,Ironing Aids,Quality Control Agents,Fragrance.",,"Heavy Starch, Original Fresh Scent, 22 oz (1 lb 6 oz) 624 g"
General Mills,Grocery,"Corn (Whole Grain Corn, Meal),Sugar,Corn Syrup,Modified Corn Starch,Cocoa Processed with Alkali,Canola and/or Rice Bran Oil,Caramel and Beet Juice Concentrate Color,Salt,Fructose,Calcium Carbonate,Tricalcium Phosphate,Corn Starch,Natural and Artificial Flavor,Trisodium Phosphate,Zinc and Iron (Mineral Nutrients),Vitamin C (Sodium Ascorbate),a B Vitamin (Niacinamide),Vitamin B6 (Pyridoxine Hydrochloride),Vitamin B2 (Riboflavin),Vitamin B1 (Thiamin Mononitrate),a B Vitamin (Folic Acid),Vitamin B12,Vitamin E (Mixed Tocopherols),and BHT Added to Preserve Freshness.",,"Cocoa Puffs Frosted Corn Puffs, 13.75 oz (389 g)"
,Grocery,Capers brine pickles. vinegar. water.,GABAN (Gabin),Capers 550g
,Grocery,bean curd powder. konjac flour. coag.,Tottori canned,Tottori Canned Rikaro Mince 1kg
,Grocery & Gourmet Food,vegetables,Marumiya,Marumiya Cooked Rice Containing Mushrooms 457g
,Grocery & Gourmet Food,Vinegar. soy sauce,Sauce of Sakichi,Sauce Handmade Universal Who 500ml of Sakichi
,Grocery & Gourmet Food,Komachigayu / rice,Komachi food industry,Komachi Food Industry Komachigayu Assorted (10 Cans Set)
,Grocery & Gourmet Food,sugar,daikokuya,Daikokuya Naniwa Specialty Skewers Source 1800ml
,Grocery & Gourmet Food,tomatoes. beef extract. flour. lard.,Kagome,Kagome Demi-glace Sauce (restaurant Youth) No. 2 Cans (820g) X12 Pieces
,Grocery & Gourmet Food,"fruits (apple. peach. plum),. soy sau.",Ebara,Ebara Golden Taste Sweet 1l
,Grocery & Gourmet Food,soy sauce. syrup. sugar. mirin. salt.,Morita,120gx4 This Sauce Ichimitsuboshi Eel
Bob's Red Mill,Grocery & Gourmet Food,"Gluten Free Whole Grain Oats, Chia Seed, Flaxseed, Sea Salt",,Bob's Red Mill Gluten Free Oatmeal Cup
Tosi Health,Grocery & Gourmet Food,"Organic Almonds, Organic Evaporated Cane Juice, White Sesame Seeds, Organic Golden Flax Seeds, Sea Salt.,Organic Almonds,Organic Evaporated Cane Juice,White Sesame Seeds,Organic Golden Flax Seeds,Sea Salt.",,Tosi Health
Betty Crocker,Grocery & Gourmet Food,"Sugar,Â Corn Syrup,DriedÂ Corn Syrup,Â Pear Puree Concentrate,Modified Corn Starch,Fructose,Maltodextrin,Palm Oil. Contains 2% or Less of: Citric Acid,Cottonseed Oil,Glycerin,Carrageenan,Grape Juice Concentrate,Monoglycerides,Sodium Citrate,Malic Acid,Potassium Citrate,Vitamin C (Ascorbic Acid),Natural Flavor,Agar-Agar,Xanthan Gum,Color (Red 40,Blue1).",,Betty CrockerÂ® Gushers Sour Triple Berry Shock 6 - 0.9 oz Pouches
Ring POP,Grocery & Gourmet Food,"sugar, corn syrup, lactic acid, pear juice concentrate. Additionally: Cherry:Natural and artificial flavors, Red 40. Watermelon: Artificial flavor, Artificial color, Blue1. Blue Raspberry: Artificial flavor, Blue 1. Strawberry: Natural & artificial flavors, Red 3, blue 1.,sugar,corn syrup,lactic acid,pear juice concentrate. Additionally: Cherry:Natural and artificial flavors,Red 40. Watermelon: Artificial flavor,Artificial color,Blue1. Blue Raspberry: Artificial flavor,Blue 1. Strawberry: Natural & artificial flavors,Red 3,blue 1.",,Ring Pop Bag 4-0.35 OZ (10g)
Med-Choice,Grocery & Gourmet Food,"Wheat Flour, Sucrose, Corn Oil, Psyllium Husk, Oats, Fructose, Oat Hull Fiber, Corn Starch, Soy Lecithin, Cinnamon, Molasses, Natural and Artificial Flavors, Nutmeg, Sodium Bicarbonate, Ascorbic Acid (Preservative).,Wheat Flour,Sucrose,Corn Oil,Psyllium Husk,Oats,Fructose,Oat Hull Fiber,Corn Starch,Soy Lecithin,Cinnamon,Molasses,Natural and Artificial Flavors,Nutmeg,Sodium Bicarbonate,Ascorbic Acid (Preservative),.",,Special Pack of 5 METAMUCIL WAFERS CINNAMON
Miracle Noodle,Grocery & Gourmet Food,"Water, glucomannan (fiber), calcium additive.,Water,glucomannan (fiber),calcium additive.",,Miracle Noodle Organic
Dang foods LLC.,Grocery & Gourmet Food,"Coconut, Sugar, Salt,Coconut,Sugar,Salt",,DANG coconut chips 12oz.
Haribo,Grocery & Gourmet Food,"Glucose syrup; sugar; gelatin; dextrose; fruit juice from concentrate: apple, strawberry, raspberry, orange, lemon, pineapple; acidifier: citric acid, fruit and plants concentrates: nettle, apple, spinach, kiwi, orange, elderberry, lemon, mango, passion fruit, black currant, chokeberry, grape; flavor, glazing agent: beeswax white and yellow, carnauba wax, elderberry extract, fruit sweetness of carob fruit, invert sugar syrup.",,Haribo Mini Goldbaren ( Haribo mini Gold Bears )
Trident Unwrapped,Grocery & Gourmet Food,"Sorbitol, Gum Base, Xylitol, Maltitol Syrup, Natural and Artificial Flavoring; Less than 2% of Acesulfame Potassium, Aspartame, BHT (to Maintain Freshness), Blue 1 Lake, Mannitol, Partially Hydrogenated Coconut Oil, Soy Lecithin, Sucralose, Yellow 5 Lake.,Sorbitol,Gum Base,Xylitol,Maltitol Syrup,Natural and Artificial Flavoring; Less than 2% of Acesulfame Potassium,Aspartame,BHT (to Maintain Freshness),Blue 1 Lake,Mannitol,Partially Hydrogenated Coconut Oil,Soy Lecithin,Sucralose,Yellow 5 Lake.",,Trident Unwrapped Sugar Free Gum (Spearmint
Glade,Grocery & Gourmet Food,"Fragrance,Solubilizers,Emulsifier,Stabilizer,Corrosion Inhibitor,Propellants.",,"Glade Spray Lavender _ Peach Blossom, 8.0 OZ"
CVS/pharmacy,Grocery & Gourmet Food,"Nutrition Facts Serving Size 1 Servings Per Container Nutrient Amount per Serving Daily Value Calories 200 160 Calories from Fat 140 160 Total Fat 15 g 23 Sat. Fat 4 g 20 Trans Fat 0 g 160 Polyunsaturated Fat 4.5 g 160 Monounsaturated Fat 4 g 160 Cholest. 0 mg 0 Sodium 15 mg 1 Total Carb. 19 g 6 Fiber 3 g 12 Sugars 13 g 160 Protein 5 g 160 Vitamin A 160 0 Vitamin C 160 0 Calcium 160 6 Iron 160 4 160ALMONDS, GREEK YOGURT COATING (SUGAR PALM KERNEL AND,Nutrition Facts Serving Size 1 Servings Per Container Nutrient Amount per Serving Daily Value Calories 200 160 Calories from Fat 140 160 Total Fat 15 g 23 Sat. Fat 4 g 20 Trans Fat 0 g 160 Polyunsaturated Fat 4.5 g 160 Monounsaturated Fat 4 g 160 Cholest. 0 mg 0 Sodium 15 mg 1 Total Carb. 19 g 6 Fiber 3 g 12 Sugars 13 g 160 Protein 5 g 160 Vitamin A 160 0 Vitamin C 160 0 Calcium 160 6 Iron 160 4 160ALMONDS,GREEK YOGURT COATING",,Gold Emblem Abound Greek Yogurt Nut Bar
CVS Gold Emblem,Grocery & Gourmet Food,"Apple Puree Concentrate, Apple amp Pear amp Grape amp Elderberry amp Pomegranate amp Blueberry amp Lemon Juice Concentrates, Citrus Pectin, Natural Flavor, Apple Fiber.,Apple Puree Concentrate,Apple amp Pear amp Grape amp Elderberry amp Pomegranate amp Blueberry amp Lemon Juice Concentrates,Citrus Pectin,Natural Flavor,Apple Fiber.",,"CVS Gold Emblem Abound Blueberry Pomegranate Superfruit Snack Bars, 5 Bars"
D'allesandro,Grocery & Gourmet Food,"Duram semolina flour, water and cuttlefish ink. (Contains wheat).",,Black Calamari Orzo
Effie's Homemade,Grocery & Gourmet Food,"Wheat Flour (Contains Malted Barley Flour), Whole Grain Rye Flour, Butter, Organic Barley Malt Extract, Oats, Sugar, Walnuts, Water, Salt, Caraway Seeds, Baking Soda.",,Effie's Homemade Ryecakes (6 Pack)
Fastachi,Grocery & Gourmet Food,"--->SALTED PISTACHIOS: PISTACHIOS (PISTACHIOS, SEA SALT). ---> HARVEST NUT MIX: ALMONDS, PEANUTS, CASHEWS (CASHEWS, PEANUT OIL, SALT), HAZELNUTS, PEPITAS, DRIED CHERRIES (RED TART CHERRIES, SUGAR), DARK RAISINS, CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER ",,Fastachiï¿½ï¿½ Duo Gift Tray of Nuts - Fastachiï¿½ï¿½ Harvest Nut Mix / Salted Pistachios
McVitie's,Grocery & Gourmet Food,"Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm), Wheat Starch, Salt",,Jammie Dodgers - 140g - Pack of 2 (140g x 2)
Dentyne,Grocery & Gourmet Food,"Sugar 66% , Aspartame 0.3% , Acesulfame-K 0.1% , Artificial Flavor .",,Dentyne Ice Mentholyptus Chewing Gum Size 49 G (35 Pieces) X 4 Boxes
Kauffman's Fruit Farm,Grocery & Gourmet Food,"Corn syrup, dry roasted peanuts, sugar, molasses, partially hydrogenated vegetable oil (cottonseed, soybean), soy lecithin, salt, mono & diglycerides, hydrogenated vegetable oil (rapeseed, cottonseed & soy-bean), glycerine and natural flavor.",,Mary Jane Candy
Wellington,Grocery & Gourmet Food,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Partially Hydrogenated Canola Oil, Salt, Sugar.",,Wellington Traditional Cracker
Jelly Belly,Grocery & Gourmet Food,"Sugar, Corn Syrup, Modified Food Starch, Plum Juice from Concentrate, Contains 2% or less of the following: Artificial Flavors, Fumaric Acid, Citric Acid, Sodium Citrate, Color Added, Red 40 Lake, Blue 1 & 2 Lake, Yellow 6 Lake, Red 40, Yellow 5 Lake, Blue 1, Beeswax, Carnauba Wax, Confectioner's Glaze.",,Jelly Belly Plum - 1lb Bag
Jelly Belly,Grocery & Gourmet Food,Not available,,20 Assorted Jelly Bean Flavors - 0.35 oz. bag - 320 Count Case
Gift Basket Village,Grocery & Gourmet Food,"This golfing gift basket includes a hysterical Jeff Foxworthy book on golf, as well as some of our most popular snacks for guys! He is going to love it!This golfer gift basket includes:\\19th Hole Club Mix\\ Gourmet Snack MixHumorous Book By Jeff Foxworthy \\How to Really Stink At Golf\\Golf Themed Box Filled With Dipping PretzelsTortuga Caribbean Island Rum CakeArtisan Baked Chocolate Layered Wafer CookiesChocolate Hazelnut Filled Cookie FingersApple Cinnamon CookiesExtra Large Gourmet Virginia PeanutsPepper and Poppy CrackersAll Beef Summer SausageBrie Cheese SpreadSmoked Gouda CheeseWolfgang Puck Gourmet CoffeeGolf Themed Planter Makes a great birthday gift or a wonderful Father's Day gift basket for the golfer in your life.",,Gift Basket Village Par-Tee On Gift Set
